name,path,path
OrganizationalUnit,"DC=minilico,DC=xyz",
BandarLampung,"DC=minilico,DC=xyz",
Bandung,"DC=minilico,DC=xyz",
Banjarmasin,"DC=minilico,DC=xyz",
Jakarta MLC,"DC=minilico,DC=xyz",
Jakarta PLC,"DC=minilico,DC=xyz",
Jambi,"DC=minilico,DC=xyz",
Jayapura,"DC=minilico,DC=xyz",
Makassar,"DC=minilico,DC=xyz",
Medan,"DC=minilico,DC=xyz",
Office365,"DC=minilico,DC=xyz",
Padang,"DC=minilico,DC=xyz",
Palembang,"DC=minilico,DC=xyz",
Pekanbaru,"DC=minilico,DC=xyz",
Pontianak,"DC=minilico,DC=xyz",
Samarinda,"DC=minilico,DC=xyz",
Sampit,"DC=minilico,DC=xyz",
Semarang,"DC=minilico,DC=xyz",
Service Point,"DC=minilico,DC=xyz",
Surabaya,"DC=minilico,DC=xyz",
Traknus CRM Jakarta,"DC=minilico,DC=xyz",
Vendor User,"DC=minilico,DC=xyz",
Information Technology,"OU=Jakarta MLC,DC=minilico,DC=xyz",
PDCA & ISO,"OU=Jakarta MLC,DC=minilico,DC=xyz",
AG-IT,"OU=Vendor User,DC=minilico,DC=xyz",
ALIANSI,"OU=Vendor User,DC=minilico,DC=xyz",
HRIS,"OU=Vendor User,DC=minilico,DC=xyz",
INSPIRE,"OU=Vendor User,DC=minilico,DC=xyz",
INTERSOFT,"OU=Vendor User,DC=minilico,DC=xyz",
PWC Audit,"OU=Vendor User,DC=minilico,DC=xyz",
TECTURA,"OU=Vendor User,DC=minilico,DC=xyz",